"","text"
"Mach_184.txt.content","cloud has shown you the way; water has flowed from the rock; manna has rained down here. Everything points to your future greatness. But you must play your part, for God does not want to do everything, in order not to deprive us of our freedom and the glory that belong to us.  It is not very surprising that none of the Italians previously mentioned was able to achieve what it is hoped your illustrious family will achieve, or that in all the great changes that have occurred in Italy and all the military campaigns, it always seems as if Italian military skill and valour no longer exist.  The reason for this is that our old military practices were unsound, and there has been nobody capable of devising new ones. Nothing brings so much honour to a new ruler as new laws and new practices that he has devised. Such things, if they are solidly based and conduce "
"Mach_185.txt.content","to achieving greatness,  will make him revered and admired; and in Italy there is no lack of matter to shape into any form.  Here individuals have great skill and valour; it is the leaders who lack these qualities. Look how in duels and combats between several men Italians are superior in strength, skill and resourcefulness. But when it comes to fighting in armies, they do not distinguish themselves. And all this stems from the weakness of the leaders: those who are capable are not followed, and everyone thinks that he knows best. Until now nobody has had sufficient ability or luck to succeed in imposing himself to such an extent that the other leaders have recognised his superiority. The outcome has been that, for a long time, in all the wars that have been fought during the last twenty years, any armies composed only of Italian troops have always fared badly. What happened on the Taro, and at Alessandria, Capua, Genoa, Vaila, Bologna and Mestre all "
"Mach_186.txt.content","confirm this judgement.  If your illustrious family, then, wants to emulate those great men who saved their countries, it is essential above all else, as a sound basis for every campaign, to form an army composed of your own men, for there can be no soldiers more loyal, more reliable or better. Even if each of these soldiers individually is brave, they will combine to form a better fighting force if they are led by their own ruler, and honoured and well treated by him. Hence, if ltalian skill and courage is to protect us from foreign enemies, it is essential to form an army of this kind.  Although the Swiss and Spanish infantry are considered very formidable, both have weaknesses, so a different kind of army could not only fight them, but be confident of defeating them. For the Spaniards are very vulnerable against cavalry, and the Swiss lack confidence "
"Mach_187.txt.content","against infantry that fight as strongly as they do themselves. Thus, it has been seen, and experience will confirm it, that the Spaniards are very vulnerable against the French cavalry, and the Swiss have a fatal weakness against the Spanish infantry. And although there is no proof of the latter weakness, some evidence is provided by the battle of Ravenna when the Spanish infantry fought against the German battalions, which fight in the same way as the Swiss. In this battle, the Spaniards, using their agility and helped by their use of bucklers, penetrated under the long German pikes, and were able to inflict great damage. The Germans were unable to repel them, and if the cavalry had not attacked the Spaniards, the Germans would all have been killed. Once the weaknesses of both the Spanish and the Swiss infantry are recognised, then, it will be possible to form a new kind of infantry, which should be able to resist cavalry charges and not be intimidated by infantry. It will be possible to do this by the right choice of weapons and by changing battle formations. It is the introduction of such new methods of fighting that enhances the reputation of a new ruler, establishing him as a great leader. "
"Mach_188.txt.content"," This opportunity to provide Italy with a liberator, then, after such a long time, must not be missed. I have no doubt at all that he would be received with great affection in all those regions that have been inundated by the foreign invasions, as well as with a great thirst for revenge, with resolute fidelity, with devotion and with tears of gratitude. What gate would be closed to him? What people would fail to obey him? What envious hostility would work against him? What Italian would deny him homage? This foreign domination stinks in the nostrils of everyone. Let your illustrious family, then, take up this mission, with the spirit and courage and the faith that inspires all just causes, so that under your standard our country may be ennobled, and under your auspices these words of Petrarch will come true:  Virtu contra a furore prendera l'arme; e fia el combatter corto: "
"Mach_19.txt.content","not committed other errors. When he had conquered Lombardy, then, the King at once regained the power and prestige that had been lost by Charles. Genoa surrendered, the Florentines became his allies; the Marquis of Mantua, the Duke of Ferrara, Bentivoglio, the Countess of Forli, the rulers ofFaenza, Pesaro, Rimini, Camerino, Piombino, and the people of Lucca, Pisa and Siena: all of them moved to ally themselves with him. At this point, the Venetians were able to understand the rashness of their policy: in order to gain a couple of possessions in Lombardy, they had enabled the King to become master of a third of Italy.  Everyone will realise how easily the King could have maintained his standing in Italy if he had followed the above-mentioned rules, and had maintained and protected all those allies of his who, because there were many of them, and they were weak and fearful (some of the power of the "
"Mach_2.txt.content","Magnificence, I trust very much that your humanity will lead you to accept it, since it is not in my power to offer you a greater gift than one which in a very short time will enable you to understand all that I have learned in so many years, and with much difficulty and danger. I have not embellished this work by filling it with rounded periods, with high -sounding words or fine phrases, or with any of the other beguiling artifices of apparent beauty which most writers employ to describe and embellish their subject-matter; for my wish is that, if it is to be honoured at all, only its originality and the importance of the subject should make it acceptable.  I hope it will not be considered presumptuous for a man of very low and humble condition to dare to discuss princely government, and to lay down rules about it. For those who draw maps place themselves on "
"Mach_20.txt.content","Church, some of the Venetians), were forced to remain allied to him. And with their help he could easily have dealt effectively with the remaining greater powers.  But no sooner was Louis in Milan than he began to follow the opposite policy, by helping Pope Alexander to conquer the Romagna. Furthermore, he did not realise that this decision weakened him (because it alienated his allies and those who had thrown themselves in his lap) and aggrandised the Church, for it added much temporal power to the spiritual power, from which it derives so much authority. After he had made his first blunder, he was forced to follow it up, so that, to put a stop to Alexander's ambitions, and to ensure that he did not become master ofTuscany, Louis was himself compelled to invade Italy. It was not enough for him to have increased the power of the Church, and alienated his allies; because he coveted the Kingdom of "
"Mach_21.txt.content","Naples, he divided it with the King of Spain. And whereas previously Louis had been arbiter of Italy, he now brought in a partner, so giving the ambitious men of that country and those who were discontented with him someone to turn to for help. Whereas he could have left in that Kingdom a tributary king, Louis removed him' and established there someone who could drive him out.  Wanting to annex territory is indeed very natural and normal, and when capable men undertake it, they are always praised or, at least, not criticised. But if men who are not capable of achieving it are bent on undertaking it at all costs, this is a blunder that deserves censure. Hence, if the King of France could have attacked the Kingdom of Naples with his own troops, he should have done it; if he could not, he should not have tried to share it. And if sharing Lombardy with the "
"Mach_22.txt.content","Venetians deserves to be excused, because it enabled him to gain a foothold in Italy, this other sharing deserves to be censured, since it was not necessary and, therefore, not excusable.  Louis, then, made these five blunders: he extinguished the minor powers; he increased the power of a ruler who was already powerful in Italy; he brought into Italy a very strong foreign power; he did not institute direct rule, and he did not set up colonies. Nevertheless, these mistakes need not have damaged him during his lifetime if he had not committed a sixth: that of putting down the Venetians.  For if he had neither aggrandised the Church nor brought the King of Spain into Italy, it would have been reasonable and necessary to put them down. But since he had followed these first two courses, he should never have permitted the ruin of the Venetians. Since the Venetians were powerful, "
"Mach_23.txt.content","they would always have prevented the other powers from intervening in Lombardy; they would never have permitted intervention if they were not to become masters of Lombardy themselves. And the other powers would not have wanted to take Lombardy from the King of France in order to give it to the Venetians, and they would not have had the strength to fight against both France and Venice. If anyone should urge that Louis ceded the Romagna to Alexander, and the Kingdom ofNaples to the King of Spain, in order to avoid waging war, I should reply with the arguments advanced before: that one should never permit troubles to develop in order to avoid having to fight a war; because it is never in fact' avoided but only postponed to your detriment. And if others should cite the promise the King made to the Pope (to undertake that campaign for him in return for the annulling of his marriage and making Rouen a cardinal), I would reply with arguments I shall advance later about how rulers should keep their promises. "
"Mach_24.txt.content"," King Louis, then, lost Lombardy because he did not follow any of the policies followed by those who have annexed countries and been determined to keep them. And there is nothing extraordinary about this; it is a matter of course and to be expected.  I discussed this matter at Nantes with the Cardinal of Rouen, when the Duke Valentino (as Cesare Borgia, the son of Pope Alexander, was commonly called) was engaged in capturing the Romagna. When the Cardinal of Rouen remarked to me that Italians did not understand warfare, I replied that the French did not understand statecraft, for if they did they would not have permitted the Church to acquire so much power. And experience has shown that the power of both the Church and of the King of Spain, here in Italy, has been brought about by the King of France, and they have brought about his ruin. "
"Mach_25.txt.content"," From this may be derived a generalisation, which is almost always valid: anyone who enables another to become powerful, brings about his own ruin. For that power is increased by him either through guile or through force, and both of these are reasons for the man who has become powerful to be on his guard.  IV: Why the Kingdom of Darius, conquered by Alexander, did not rebel against his successors after Alexander's death  Given the difficulties encountered in holding a newly conquered territory, the following facts may cause surprise. Alexander the Great became master of Asia within a few years and, not long afterwards, died. It might have been expected that the whole region would then rebel; nevertheless, Alexander's successors held it, and had to contend with no other difficulties than those arising from their own ambitious schemes.  I reply that all principalities known to history have been ruled in one "
"Mach_26.txt.content","of two ways: either by one ruler, who is helped to govern the kingdom by others, who are in reality his servants, acting as ministers through his grace and favour; or else by a ruler and barons who hold that rank by hereditary right, not through the favour of the ruler. Such barons have their own territories and subjects, who recognise them as lords and are naturally devoted to them. In states governed by a ruler and his servants, the ruler has more authority, because throughout the country there is no one else who is recognised as a lord; and if the subjects obey others, it is because these are his ministers or officials, not because there is any personal devotion to them.  Contemporary examples of these two types of government are the Turkish Sultan and the King of France. The whole Turkish Kingdom is governed by one ruler, the others all being his servants; and his "
"Mach_27.txt.content","Kingdom is divided into sanjaks, to which he sends various administrators, whom he changes and moves as he pleases. But the King of France is placed amidst a great number of hereditary lords, recognised in that state by their own subjects, who are devoted to them. They have their own hereditary privileges, which the King disallows only at his peril. If these two kinds of state are considered, then, it will be found that it is difficult to overcome a state of the Turkish type but, if it has been conquered, very easy to hold it. On the other hand, in some respects it is easier to conquer a state like France, but it is very difficult to hold it.  The reasons why it is hard to conquer the Turkish Kingdom are, first, there is no possibility that princes of the Kingdom will seek aid from a foreigner; secondly, there is no hope that the men surrounding "
"Mach_28.txt.content","the ruler will rebel, thus facilitating the invasion, for the reasons already mentioned. Since they are all servants and owe their position to him, it is harder to corrupt them, and if one does succeed, little advantage is to be hoped for, because they will not be followed by the inhabitants, for the reasons mentioned.  It follows that anyone who attacks the Sultan of Turkey must expect to find the enemy united, and will be obliged to trust more in the strength of his own troops than in the disunity of his enemy. But if victory is achieved, and the defeat inflicted is so decisive that the enemy forces cannot regroup, there remains no other obstacle except the ruler's family. If they are wiped out, there is no other focus of resistance to be feared, since no one else enjoys any standing with the inhabitants. And just as the conqueror could expect no help from them before his victory, afterwards he will have no reason to fear them. "
"Mach_29.txt.content"," The opposite occurs in kingdoms ruled like France, because it is easy for you to make headway, through winning over some barons of the kingdom (because there are always those who are disaffected and those who want to change the regime). For the reasons already given, they can assist your campaign and help you gain victory. Afterwards, when you want to keep what you have acquired, countless difficulties will be encountered, both from those who have helped you and from those who have suffered because of your invasion. It is not enough to wipe out the ruling family, since there remain these nobles, who are very ready to lead new revolts. Since you can neither satisfy nor destroy them, you will lose that state whenever circumstances are unfavourable.  Now, if the character of the government of Darius is borne in mind, it will be found that it resembles the Turkish Kingdom. And therefore "
"Mach_3.txt.content","low ground, in order to understand the character of the mountains and other high points, and climb higher in order to understand the character of the plains. Likewise, one needs to be a ruler to understand properly the character of the people, and to be a man of the people to understand properly the character of rulers.  May Your Magnificence, then, accept this little gift in the spirit in which I am sending it; if it is read and pondered diligently, my deep wish will be revealed, namely, that you should achieve that greatness which propitious circumstances and your fine qualities promise. And if Your Magnificence, from the heights of your exalted position, should sometimes deign to glance down towards these lowly places, you will see how much I am unjustly oppressed by great and cruel misfortune.  I: The different kinds of principality and how they are acquired "
"Mach_30.txt.content","Alexander was forced to make a frontal assault and win a decisive victory; afterwards, since Darius was dead, Alexander was able to maintain his power securely, for the reasons given above. And if his successors had remained united, they could easily have retained their power; for the only tumults arising in that Kingdom resulted from their own conduct. But it is impossible to hold without difficulty states organised like France.  This explains why there were so many rebellions against the Romans in Spain, Gaul and Greece, for there were many principalities in these countries. While the memory of these principalities endured, the Romans could never be certain of keeping possession of these territories; but when it faded, after their own rule had been long established, their hold over them was assured. However, when the Romans later fell to fighting among themselves, each leader of a faction was able to dominate a region of these countries, according to how much "
"Mach_31.txt.content","authority he acquired within it. And because their old hereditary ruling families no longer existed, these provinces recognised only the authority of various Roman leaders.  Bearing all these things in mind, then, nobody should be surprised how easy it was for Alexander to maintain his position in Asia, and how difficult it was for others to hold conquered territories, as Pyrrhus and many others discovered. This contrast does not depend upon how much ability the conquerors displayed but upon the different characteristics of the conquered states.  V: How one should govern cities or principalities that, before being conquered, used to live under their own laws  When states that are annexed have been accustomed to living under their own laws and in freedom, as has been said, there are three ways of holding them: the first, to destroy their political institutions; the second, to go to live there yourself; the third, to let them continue to "
"Mach_32.txt.content","live under their own laws, exacting tribute and setting up an oligarchical government that will keep the state friendly towards you. Since the government has been set up by that ruler, it knows that it will be dependent upon his goodwill and power, and will be very concerned to maintain the status quo. If one wants to preserve a city that is accustomed to being independent and having free institutions, it is more easily held by using its citizens to govern it than in any other way.  The Spartans and the Romans provide good examples. The Spartans held Athens and Thebes by establishing oligarchies there; yet they eventually lost control over them. In order to hold Capua, Carthage and Numantia, the Romans destroyed theme and consequently never lost them. They tried to hold Greece in a similar manner to the Spartans, by granting it freedom and letting it live under its own laws. This was unsuccessful, so they were then forced to destroy many cities in that country, in order to maintain their hold over it. In fact, destroying "
"Mach_33.txt.content","cities is the only certain way of holding them. Anyone who becomes master of a city accustomed to a free way of life, and does not destroy it, may expect to be destroyed by it himself, because when it rebels, it will always be able to appeal to the spirit of freedom and its ancient institutions, which are never forgotten, despite the passage of time and any benefits bestowed by the new ruler. Whatever he does, whatever provisions he makes, if he does not foment internal divisions or scatter the inhabitants, they will never forget their lost liberties and their ancient institutions, and  will immediately attempt to recover them whenever they have an opportunity, as Pisa did after enduring a century of subjection to the Florentines.  However, when cities or countries are accustomed to living under a prince, and the ruling family is wiped out, the inhabitants are used to "
"Mach_34.txt.content","obeying but lack their older ruler; they are unable to agree on making one of themselves ruler, and they do not know how to embrace a free way of life.  Consequently, they are slow to resort to arms, and a ruler can more easily win them over, and be sure that they will not harm him. But in republics there is greater vitality, more hatred, and a stronger desire for revenge; they do not forget, indeed cannot forget, their lost liberties. Therefore, the surest way is to destroy them or else go to live there.  VI: New principalities acquired by one's own arms and ability  Nobody should be surprised if, in discussing completely new principalities, both as regards the ruler and the type of government, I shall cite remarkable men as examples. For men almost always follow in the footsteps of others, imitation being a leading principle of human "
"Mach_35.txt.content","behaviour. Since it is not always possible to follow in the footsteps of others, or to equal the ability of those whom you imitate, a shrewd man will always follow the methods of remarkable men, and imitate those who have been outstanding, so that, even if he does not succeed in matching their ability, at least he will get within sniffing distance of it.  He should act as skilful archers do, when their target seems too distant: knowing well the power of their bow, they aim at a much higher point, not to hit it with the arrow, but by aiming there to be able to strike their target.  I maintain, then, that in a completely new principality, where there is a new ruler, the difficulty he will have in maintaining it will depend on how much ability he possesses. And because for a private citizen to become ruler presupposes that he is either able or lucky, it might seem "
"Mach_36.txt.content","that one or other of these would, to some degree, mitigate many of the difficulties. Nevertheless, rulers maintain themselves better if they owe little to luck. It is also very helpful when the ruler is compelled to go and live in his principality, because he does not possess other states.  However, to come to those who have become rulers through their own ability and not through luck or favour, I consider that the most outstanding were Moses, Cyrus, Romulus, Theseus and others of that stamp. And although one should not discuss Moses, because he was merely an executor of what had been ordained by God, yet he should be admired even if only for that favour which made him worthy to speak with God. But let us consider Cyrus and others who have acquired or founded kingdoms. They will all be found remarkable, and if their actions and methods are considered, they will not appear very different "
"Mach_37.txt.content","from those of Moses, who had such a great master.  If their deeds and careers are examined, it will be seen that they owed nothing to luck except the opportunity to shape the material into the form that seemed best to them. If they had lacked the opportunity, the strength of their spirit would have been sapped; if they had lacked ability, the opportunity would have been wasted.  It was necessary, then, for Moses to find the people of Israel in Egypt, enslaved and oppressed by the Egyptians, so that they would be disposed to follow him, in order to escape from their servitude. It was necessary that Romulus, who was exposed at birth in Alba, did not find there full scope for his abilities, so that he should have wanted to become King of Rome and, indeed, its founder. It was necessary that Cyrus should have found the Persians discontented under the rule of "
"Mach_38.txt.content","the Medes, and that the Medes should have been soft and weak because of the long peace.  And Theseus could not have fully revealed his abilities had he not found the Athenians dispersed. These opportunities, then, permitted these men to be successful, and their surpassing abilities enabled them to recognise and grasp these opportunities; the outcome was that their own countries were ennobled and flourished greatly.  Those who, like them, become rulers through their own abilities, experience difficulty in attaining power, but once that is achieved, they keep it easily. The difficulties encountered in attaining power arise partly from the new institutions and laws they are forced to introduce in order to establish their power and make it secure. And it should be realised that taking the initiative in introducing a new form of government is very difficult and dangerous, and unlikely to succeed. The reason is that all those who profit from the old order will be opposed to the innovator, whereas all those who might benefit from the new order are, at best, tepid supporters of him. This lukewarmness arises partly from fear of their adversaries, who have the laws on their side, partly from the sceptical temper of men, who do not really believe in new things unless they have been seen to work well. The result is that whenever those who are opposed to change have the chance to attack "
"Mach_39.txt.content","the innovator, they do it with much vigour, whereas his supporters act only half-heartedly; so that the innovator and his supporters find themselves in great danger.  In order to examine this matter thoroughly, we need to consider whether these innovators can act on their own or whether they depend upon others; that is,·whether they need to persuade others if they are to succeed, or whether they are capable of establishing themselves by force. In the former case, they always fare badly and accomplish nothing. But if they do not depend upon others and have sufficient forces to take the initiative, they rarely find themselves in difficulties. Consequently, all armed prophets succeed whereas unarmed ones fail. This happens because, apart from the factors already mentioned, the people are fickle; it is easy to persuade them about something, but difficult to keep them persuaded. Hence, when they no longer believe in you and your schemes, you must be able to force them to believe. "
"Mach_4.txt.content"," All the states, all the dominions that have held sway over men, have been either republics or principalities. Principalities are either hereditary (their rulers having been for a long time from the same family) or they are new. The new ones are either completely new (as was Milan to Francesco Sforza or they are like limbs joined to the hereditary state of the ruler who annexes them (as is the Kingdom of Naples to the King of Spain). States thus acquired are either used to living under a prince or used to being free; and they are acquired either with the arms of others or with one's own, either through luck or favour or else through ability.   II: Hereditary principalities  I shall not discuss republics, because I have previously treated them at length.  I shall consider only principalities, and shall weave together the warps mentioned above, examining how principalities can be governed "
"Mach_40.txt.content"," If Moses, Cyrus, Theseus and Romulus had been unarmed, the new order which each of them established would not have been obeyed for very long. This is what happened in our own times to Fra' Girolamo Savonarola, who perished together with his new order as soon as the masses began to lose faith in him; and he lacked the means of keeping the support of those who had believed in him, as well as of making those who had never had any faith in him believe.  Such innovators, then, have to confront many difficulties; all the dangers come after they have begun their enterprises, and need to be overcome through their own ability. But once they have succeeded, and begin to be greatly respected (after they have extinguished those envious of their success), they remain powerful, secure, honoured and successful.  I should like to add a less important example than the eminent ones "
"Mach_41.txt.content","already discussed. But it certainly is worthy of mention in this context, so let it suffice for all the others like it: I refer to Hiero of Syracuse. From being a private citizen, he became ruler of Syracuse. He enjoyed a fine opportunity but, apart from that, his success owed nothing to luck. For when the Syracusans were in desperate straits,  they chose him as their general; afterwards he was deservedly made their ruler. And even in private life he showed so much ability that it was written of him 'quod nihil illi deerat ad regnandum praeter regnum'.  He disbanded the old army and raised a new one; he abandoned the old alliances and formed new ones; and as soon as he possessed his own troops and had reliable allies he could build any edifice he wanted upon this foundation. Thus, it was very difficult for him to attain power, but not to keep it. "
"Mach_42.txt.content"," VII: New principalities acquired through the power of others and their favour  Private citizens who become rulers only through favour or luck achieve that rank with little trouble, but experience great difficulty in retaining it. In arriving at that position there are no problems, because they fly there; all the difficulties arise afterwards. This is the situation if a state or territory is granted to someone either for money or by favour of the giver, as happened to many in Greece, in the cities of Ionia and the Hellespont, where Darius set up rulers so that they would hold them to increase his security and enhance his glory. Other cases are those private citizens who became emperors, attaining the imperial throne by bribing the soldiers.  Such men are entirely dependent on the goodwill and prosperity of those who gave them their positions, and these are two things that are exceedingly variable and uncertain. Such men lack the knowledge and capacity to maintain their power. They lack the knowledge because, unless he has great intelligence and ability, it is not to be expected that a man who has always lacked direct experience of public life should know how to rule. They lack the capacity because they do not have devoted and loyal forces at their disposal. Moreover, like all other natural things that are born and grow rapidly, states that grow quickly cannot sufficiently develop their roots, trunks and branches, and will be destroyed by the first chill winds of adversity. This happens unless those who have so quickly become rulers have the ability to profit by what luck or favour has placed in their laps, and know how to make provision very speedily to preserve their power, developing afterwards the foundations that others have laid before they become rulers. "
"Mach_43.txt.content"," To illustrate these two methods of becoming ruler, namely, through ability or through favour or luck, I want to cite two recent examples: Francesco Sforza and Cesare Borgia. Francesco, through using appropriate methods and exploiting his great ability, from being a private citizen became Duke of Milan; and he maintained with very little trouble the position that he attained only with countless difficulties. On the other hand, Cesare Borgia, popularly called the Duke Valentino, attained his position through the favour and help of his father, and lost it when these disappeared, despite having used every means and having done all those things that a far-seeing and able man should do, in order to put down his roots in territories that he had acquired thanks to the power and favour of others. For, as I have said, a man who does not lay his foundations at first may be able to dq it later, if he possesses great ability, although this creates difficulties for the builder and the edifice itself may well prove unstable. "
"Mach_44.txt.content"," If the whole career of the Duke is considered, then, it will be seen that he succeeded in laying very strong foundations for his future power. I do not consider it superfluous to discuss it, for I do not know what better precepts to offer to a new ruler than to cite his actions as a pattern; and although his efforts were in the end unsuccessful, he should not be blamed, because it resulted from extraordinarily bad luck.  In seeking to make his son the Duke a great man, Alexander VI faced many difficulties, both present and future. First, he did not see how he could make him a ruler of any territory that was not part of the States of the Church. And if he were to appropriate one of the territories belonging to the Church, he was well aware that the Duke of Milan and the Venetians would not permit it (for Faenza and Rimini were "
"Mach_45.txt.content","already under the protection of the Venetians). Apart from this problem, Alexander saw that the Italian military forces (and especially those that he could have used most easily) belonged to those who had every reason to fear any increase of the Pope's power; therefore, he could not safely use them, because they all belonged to the Orsini and Colonna factions and their adherents.  It was therefore necessary to sow disorder in Italy, making their states unstable, so as to be able to seize and hold some portion of them. This was easy for him, because he found that the Venetians, for other reasons, wanted to bring the French back into Italy. Not only did he not oppose this policy; he facilitated it by annulling the first marriage of King Louis. The King, then, invaded Italy with the help of the Venetians and the consent of Alexander. Louis was no sooner in "
"Mach_46.txt.content","Milan than the Pope received troops from him for his own campaign in the Romagna, which was made easier because of the standing of the King.  After the Duke had conquered the Romagna and defeated the Colonna faction, two things hindered him from holding that region securely and annexing more territory. One was that he had doubts about the loyalty of his troops, the other was the goodwill of the King of France. The Orsini troops, which he had used, might prove worthless when he attacked and not only prevent him from annexing more territory, but take from him what he had acquired. He also feared that the King might deprive him of what he possessed. He had a proof of the worth of the Orsini troops when, after having besieged Faenza, he attacked Bologna, because he saw them undertake that attack half-heartedly.  And he understood the King's attitude "
"Mach_47.txt.content","when, after he had captured the Duchy of Urbino, he attacked Tuscany, for the King made him abandon the campaign.  The Duke then decided not to depend any longer upon the troops and the favour of others. He first undermined the strength of the Orsini and Colonna factions in Rome, by making all their noble adherents his own nobles, heaping much wealth on them. He also honoured them, according to their merits, giving them military posts and responsibilities. The outcome was that within a few months they abandoned their ancient factional loyalties, and became completely attached to the Duke.  After this, he waited for an opportunity to destroy the leaders of the Orsini faction, having already scattered those of the Colonna. A fine chance came, and he exploited it to the full. For the Orsini leaders realised, belatedly, that the great power of the Duke and of the Church "
"Mach_48.txt.content","spelt their ruin, and called a diet at Magione, in the province of Perugia.  This meeting gave rise to the revolt in Urbino and disorders in the Romagna, and countless other dangers for the Duke, all of which he overcame with the help of the French.  This restored his prestige, but he distrusted the King of France and all other external forces; in order not to risk depending on them, he resorted to trickery. He so cleverly concealed his intentions that the Orsini leaders, through the person of the Signor Paulo, became reconciled with him. The Duke treated Paulo very courteously and generously, giving him money, fine clothes and horses, in order to reassure him. Their naivety was such that it brought them to Senigallia, and into the hands of the Duke.  Having killed these leaders, then, and won over their adherents to himself, the Duke had established a very "
"Mach_49.txt.content","good basis for his power, because he controlled all the Romagna, together with the Duchy of Urbino and, especially, he thought that the Romagna was well disposed towards him, and that he had won over all the inhabitants, for they had begun to enjoy prosperity.  Since this policy of his should be known about, and imitated by others, I do not want to pass over it. After the Duke had conquered the Romagna, he found that it had been controlled by violent lords, who were more disposed to despoil their subjects than to rule them properly, thus being a source of disorder rather than of order; consequently, that region was full of thefts, quarrels and outrages of every kind. He considered it necessary to introduce efficient government, because he wanted the region to be peaceful and its inhabitants obedient to his monarchical authority. He therefore sent there messer Remirro de Orco, a cruel and energetic man, giving him full powers. "
"Mach_5.txt.content","and maintained.  I say, then, that states which are hereditary, and accustomed to the rule of those belonging to the present ruler's family, are very much less difficult to hold than new states, because it is sufficient not to change the established order, and to deal with any untoward events that may occur; so that, if such a ruler is no more than ordinarily diligent and competent, his government will always be secure, unless some unusually strong force should remove him. And even if that happens, whenever the conqueror encounters difficulties, the former ruler can re-establish himself.  To cite an Italian example: the Duke of Ferrara resisted the assaults of the Venetians in 1484, as well as those of Pope Julius in 1510, just because his family,vas very well established in that state. For a natural ruler has fewer reasons and less need to harm others. Consequently, men will be better disposed towards him; and if he is not hated for unusually vicious conduct, it is not surprising that he should be regarded with affection by his subjects. Moreover, the length and "
"Mach_50.txt.content","Remirro quickly restored order and peace, and acquired a very formidable reputation. Later, the Duke considered that such great power was undesirable, because he was afraid it would incur hatred; and he set up a civil tribunal under a distinguished president, in the centre of the region, to which each city sent a lawyer. Because he recognised that the severe measures that had been taken had resulted in his becoming hated by some people, in order to dispel this ill-feeling and win everyone over to him, he wanted to show that if any cruel deeds had been committed they were attributable to the harshness of his governor, not to himself. And availing himself of an appropriate opportunity, one morning the Duke had Remirro placed in two pieces in the square at Cesena, with a block of wood and a blood -stained sword at his side. This terrible spectacle left the people both satisfied and amazed. "
"Mach_51.txt.content"," But let me continue from where I left off. I say that the Duke was very powerful, and secure in some measure against existing dangers, because he possessed his own troops, and had largely destroyed those neighbouring forces that could have harmed him. Since he wanted to annex more territory, he had to be very careful about the King of France. For he recognised that the King, who had belatedly realised his mistake, would not tolerate this plan. The Duke therefore began to seek new alliances, and to temporise with the King of France when the French undertook a campaign in the Kingdom of Naples against the Spaniards, who were besieging Gaeta. His aim was to protect himself against them; if Alexander had not died, he would soon have succeeded.  This was how he acted in relation to the existing situation. But as to the future, his main fear was that a new pope might be hostile to him, "
"Mach_52.txt.content","and seek to take away what Alexander had given to him. He decided to protect himself against this possibility by following four courses of action: first, to wipe out the families of the rulers whom he had dispossessed, so that a new pope could not restore them to power; secondly, to win over all the Roman nobles, as has been said, so that by using them he could check a new pope; thirdly, to have the college of cardinals as well disposed towards him as possible; fourthly, to extend his power so much, before the Pope died, that he would be capable of resisting the first attacks without outside aid. Of these four aims, he had achieved three by the time Alexander died, and had almost achieved the fourth. For he had killed as many of the old dispossessed rulers as he was able, and very few escaped from him. He had won over the "
"Mach_53.txt.content","Roman nobles, and most of the cardinals. As for annexing new territories, he had planned to become master of Tuscany, he already held Perugia and Piombino, and had taken Pisa under his protection. And since he no longer needed to be worried by French power (which was indeed now the case, as the French had already been deprived of the Kingdom of Naples by the Spaniards, with the result that each of them would have been obliged to purchase an alliance with him) he would swoop on Pisa. After this, Lucca and Siena would have surrendered immediately, partly through envious hatred of the Florentines, partly through fear; and the Florentines could have done nothing. If he had succeeded in all this (and it could well have happened within the very year that Alexander died), he would have acquired so much military strength and so much prestige that he would have been solidly established in power, and would no longer have depended on the favour and arms of others, but on his own strength and ability. "
"Mach_54.txt.content"," However, five years after the Duke had taken up the sword, Alexander died.  He found himself firmly established only in the Romagna, with all his other possessions in the air, between two very powerful enemy armies, and critically ill. But the Duke possessed such indomitable spirit and so much ability, he was so well aware that men must either be won over or else destroyed, and had such a sound basis for his power, which he had established in such a short period, that he would have overcome all the difficulties if he had not had those armies on top of him, or if he had been in good health.  That his power was firmly based is shown by the following facts. The Romagna waited for him for more than a month. In Rome no attack was made on him, even though he was half-dead; and although the "
"Mach_55.txt.content","Baglioni, Vitelli and Orsini came to Rome, they were unable to stir anyone up against him. Moreover, if he was not able to have whatever cardinal he wanted chosen pope, at least he was able to prevent someone he objected to from being chosen. Everything would have been easy for him, if he had been well when Alexander died. And he told me himself, on the day Julius II was elected, that he had thought about what might happen when his father died, and had provided against everything, except that he had never thought that, when his father was dying, he too would be at death's door.  Having reviewed all the actions of the Duke, then, I would not wish to criticise him; rather, he seems to me worthy to be held up as a model, as I have done, for all those who have risen to power through favour or luck and through the arms of others. For he could not have acted differently, given that he possessed a great spirit and had high ambitions. Only two things hindered his schemes: the shortness of Alexander's pontificate and his own illness. "
"Mach_56.txt.content"," Hence, anyone who considers it necessary in his new principality to deal effectively with his enemies, to gain allies, to conquer (whether by force or by cunning), to inspire both devotion and respectful fear in the people, to be obeyed and respectfully feared by troops, to neutralise or destroy those who can or must be expected to injure you, to replace old institutions with new ones, to be both severe and kind, both magnanimous and open-handed, to disband disloyal troops and form a new army, to maintain alliances with kings and other rulers in such a way that they will either be glad to benefit you or be slow to injure you: for all these, no better examples can be cited than the actions of this man.  He can be criticised only with regard to the election of Pope Julius, in which he made a bad choice; as has been said, even if he could not "
